Country,Date,Confirmed,Deaths,Recovered
Andorra,2020-2-27,0,0,0
Andorra,2020-2-28,0,0,0
Andorra,2020-2-29,0,0,0
Andorra,2020-3-1,0,0,0
Andorra,2020-3-2,1,0,0
Andorra,2020-3-3,0,0,0
Andorra,2020-3-4,0,0,0
Andorra,2020-3-5,0,0,0
Andorra,2020-3-6,0,0,0
Andorra,2020-3-7,0,0,0
Andorra,2020-3-8,0,0,0
Andorra,2020-3-9,0,0,0
Andorra,2020-3-10,0,0,0
Andorra,2020-3-11,0,0,0
Andorra,2020-3-12,0,0,1
Andorra,2020-3-13,0,0,-1
Andorra,2020-3-14,0,0,1
Andorra,2020-3-15,0,0,0
Andorra,2020-3-16,1,0,0
Andorra,2020-3-17,37,0,0
Andorra,2020-3-18,0,0,0
Andorra,2020-3-19,14,0,0
Andorra,2020-3-20,22,0,0
Andorra,2020-3-21,13,0,0
Andorra,2020-3-22,25,1,0
Andorra,2020-3-23,20,0,0
Andorra,2020-3-24,31,0,0
Andorra,2020-3-25,24,0,0
Andorra,2020-3-26,36,2,0
Andorra,2020-3-27,43,0,0
Andorra,2020-3-28,41,0,0
Andorra,2020-3-29,26,3,0
Andorra,2020-3-30,36,2,9
Andorra,2020-3-31,6,4,0
Andorra,2020-4-1,14,2,0
Andorra,2020-4-2,38,1,0
Andorra,2020-4-3,11,1,6
Andorra,2020-4-4,27,1,5
Andorra,2020-4-5,35,1,5
Andorra,2020-4-6,24,3,5
Andorra,2020-4-7,20,1,8
Andorra,2020-4-8,19,1,13
Andorra,2020-4-9,19,2,6
Andorra,2020-4-10,18,1,13
Andorra,2020-4-11,0,0,0
Andorra,2020-4-12,37,3,57
Andorra,2020-4-13,8,0,0
Andorra,2020-4-14,13,2,0
Andorra,2020-4-15,14,2,41
Andorra,2020-4-16,0,0,0
Andorra,2020-4-17,23,2,22
Andorra,2020-4-18,8,0,14
Andorra,2020-4-19,9,1,30
Andorra,2020-4-20,4,1,13
Andorra,2020-4-21,0,0,34
Andorra,2020-4-22,6,0,27
Angola,2020-1-22,0,0,0
Angola,2020-1-23,0,0,0
Angola,2020-1-24,0,0,0
Angola,2020-1-25,0,0,0
Angola,2020-1-26,0,0,0
Angola,2020-1-27,0,0,0
Angola,2020-1-28,0,0,0
Angola,2020-1-29,0,0,0
Angola,2020-1-30,0,0,0
Angola,2020-1-31,0,0,0
Angola,2020-2-1,0,0,0
Angola,2020-2-2,0,0,0
Angola,2020-2-3,0,0,0
Angola,2020-2-4,0,0,0
Angola,2020-2-5,0,0,0
Angola,2020-2-6,0,0,0
Angola,2020-2-7,0,0,0
Angola,2020-2-8,0,0,0
Angola,2020-2-9,0,0,0
Angola,2020-2-10,0,0,0
Angola,2020-2-11,0,0,0
Angola,2020-2-12,0,0,0
Angola,2020-2-13,0,0,0
Angola,2020-2-14,0,0,0
Angola,2020-2-15,0,0,0
Angola,2020-2-16,0,0,0
Angola,2020-2-17,0,0,0
Angola,2020-2-18,0,0,0
Angola,2020-2-19,0,0,0
Angola,2020-2-20,0,0,0
Angola,2020-2-21,0,0,0
Angola,2020-2-22,0,0,0
Angola,2020-2-23,0,0,0
Angola,2020-2-24,0,0,0
Angola,2020-2-25,0,0,0
Angola,2020-2-26,0,0,0
Angola,2020-2-27,0,0,0
Angola,2020-2-28,0,0,0
Angola,2020-2-29,0,0,0
Angola,2020-3-1,0,0,0
Angola,2020-3-2,0,0,0
Angola,2020-3-3,0,0,0
Angola,2020-3-4,0,0,0
Angola,2020-3-5,0,0,0
Angola,2020-3-6,0,0,0
Angola,2020-3-7,0,0,0
Angola,2020-3-8,0,0,0
Angola,2020-3-9,0,0,0
Angola,2020-3-10,0,0,0
Angola,2020-3-11,0,0,0
Angola,2020-3-12,0,0,0
Angola,2020-3-13,0,0,0
Angola,2020-3-14,0,0,0
Angola,2020-3-15,0,0,0
Angola,2020-3-16,0,0,0
Angola,2020-3-17,0,0,0
Angola,2020-3-18,0,0,0
Angola,2020-3-19,0,0,0
Angola,2020-3-20,1,0,0
Angola,2020-3-21,1,0,0
Angola,2020-3-22,0,0,0
Angola,2020-3-23,1,0,0
Angola,2020-3-24,0,0,0
Angola,2020-3-25,0,0,0
Angola,2020-3-26,1,0,0
Angola,2020-3-27,0,0,0
Angola,2020-3-28,1,0,0
Angola,2020-3-29,2,2,0
Angola,2020-3-30,0,0,0
Angola,2020-3-31,0,0,1
Angola,2020-4-1,1,0,0
Angola,2020-4-2,0,0,0
Angola,2020-4-3,0,0,0
Angola,2020-4-4,2,0,1
Angola,2020-4-5,4,0,0
Angola,2020-4-6,2,0,0
Angola,2020-4-7,1,0,0
Angola,2020-4-8,2,0,0
Angola,2020-4-9,0,0,0
Angola,2020-4-10,0,0,0
Angola,2020-4-11,0,0,2
Angola,2020-4-12,0,0,0
Angola,2020-4-13,0,0,0
Angola,2020-4-14,0,0,1
Angola,2020-4-15,0,0,0
Angola,2020-4-16,0,0,0
Angola,2020-4-17,0,0,0
Angola,2020-4-18,5,0,1
Angola,2020-4-19,0,0,0
Angola,2020-4-20,0,0,0
